"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_StandingSave","type_value_PassEndY","type_value_Angle","type_value_Length","type_value_PassEndX","type_value_Zone","type_value_Longball","type_value_HeadPass","type_value_OppositeRelatedEvent","type_value_Defensive","type_value_Offensive","type_value_Foul","type_value_FreekickTaken","type_value_ThrowIn","type_value_Chipped","type_value_LeftFoot","type_value_Cross","type_value_MissRight","type_value_MissLeft","type_value_CornerTaken","type_value_HighClaim","type_value_KeeperThrow","type_value_LayOff","type_value_OtherBodyPart","type_value_IntentionalAssist","type_value_RightFoot","type_value_ShotAssist","type_value_BigChanceCreated","type_value_KeyPass","type_value_SetPiece","type_value_GoalMouthY","type_value_BoxCentre","type_value_FirstTouch","type_value_Assisted","type_value_Volley","type_value_BigChance","type_value_GoalMouthZ","type_value_RelatedEventId","type_value_GoalKick","type_value_Head","type_value_Blocked","type_value_BlockedX","type_value_BlockedY","type_value_RegularPlay","type_value_LowRight","type_value_OutfielderBlock","type_value_LowCentre","type_value_FromCorner","type_value_IndividualPlay","type_value_OutOfBoxCentre","type_value_FastBreak","type_value_OverRun","type_value_AerialFoul","type_value_GoalDisallowed","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_HighLeft","type_value_Penalty","type_value_Yellow","type_value_DivingSave","type_value_KeeperMissed","type_value_MissHigh","type_value_LastMan","type_value_BlockedCross","type_value_LowLeft","type_value_BoxLeft","type_value_Hands","type_value_Collected","type_value_KeeperSaveInTheBox","type_value_HighCentre","type_value_ParriedSafe","type_value_KeeperSaveObox","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_CaptainPlayerId","type_value_TeamFormation","type_value_InvolvedPlayers","type_value_TeamPlayerFormation","type_value_ParriedDanger","type_value_Throughball","type_value_LeadingToAttempt","type_value_OneOnOne","value_StandingSave","value_PassEndY","value_Angle","value_Length","value_PassEndX","value_Zone","value_Longball","value_HeadPass","value_OppositeRelatedEvent","value_Defensive","value_Offensive","value_Foul","value_FreekickTaken","value_ThrowIn","value_Chipped","value_LeftFoot","value_Cross","value_MissRight","value_MissLeft","value_CornerTaken","value_HighClaim","value_KeeperThrow","value_LayOff","value_OtherBodyPart","value_IntentionalAssist","value_RightFoot","value_ShotAssist","value_BigChanceCreated","value_KeyPass","value_SetPiece","value_GoalMouthY","value_BoxCentre","value_FirstTouch","value_Assisted","value_Volley","value_BigChance","value_GoalMouthZ","value_RelatedEventId","value_GoalKick","value_Head","value_Blocked","value_BlockedX","value_BlockedY","value_RegularPlay","value_LowRight","value_OutfielderBlock","value_LowCentre","value_FromCorner","value_IndividualPlay","value_OutOfBoxCentre","value_FastBreak","value_OverRun","value_AerialFoul","value_GoalDisallowed","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_HighLeft","value_Penalty","value_Yellow","value_DivingSave","value_KeeperMissed","value_MissHigh","value_LastMan","value_BlockedCross","value_LowLeft","value_BoxLeft","value_Hands","value_Collected","value_KeeperSaveInTheBox","value_HighCentre","value_ParriedSafe","value_KeeperSaveObox","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_CaptainPlayerId","value_TeamFormation","value_InvolvedPlayers","value_TeamPlayerFormation","value_ParriedDanger","value_Throughball","value_LeadingToAttempt","value_OneOnOne","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1131,457,54,49,211,42.21,15.98,"SecondHalf","TakeOn","Successful",NA,NA,NA,"c(91, 54)",TRUE,436048,42.21,15.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.8666666666667,2812647569,62,178,NA,NA,NA,NA,56,NA,NA,233,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,"596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,NA,NA,NA,"Brighton","Wolves",20,"Carlos Baleba","DMC",TRUE,0,0,0,"C. Baleba",1131,66,"Brighton",1131
1132,596,54,49,161,62.79,52.02,"SecondHalf","Challenge","Unsuccessful",NA,NA,NA,"55",FALSE,377411,62.79,52.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.8666666666667,2812647563,62,NA,NA,NA,NA,NA,56,NA,NA,233,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,"457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,NA,NA,NA,"Wolves","Brighton",5,"Marshall Munetsi","AMC",TRUE,0,0,0,"M. Munetsi",1132,66,"Brighton",1132
1133,459,54,53,211,40.005,2.924,"SecondHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 35, 37, 216, 218)",TRUE,436048,38.115,4.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.9333333333333,2812647617,62,178,141,213,212,140,56,NA,NA,233,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.4","2.49","2.4","36.3","Back",NA,NA,"597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,NA,NA,NA,"Brighton","Wolves",20,"Carlos Baleba","DMC",TRUE,-1.11938880407672,0,142.92692668269,"C. Baleba",1133,66,"Brighton",1133
1134,597,54,53,161,66.885,65.892,"SecondHalf","BlockedPass","Successful",NA,NA,NA,"c(91, 60)",TRUE,362758,66.885,65.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.9333333333333,2812647627,62,178,NA,NA,NA,NA,56,NA,NA,233,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left",NA,NA,"459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,NA,NA,NA,"Wolves","Brighton",10,"Matheus Cunha","AMC",TRUE,0,0,0,"M. Cunha",1134,66,"Brighton",1134
1135,460,54,56,211,37.59,20.944,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,39308,37.38,30.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.9833333333333,2812647727,62,178,141,213,212,140,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44.6","1.59","9.4","35.6","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,0.01269174,0.01262646,-6.52799999999992e-05,"Brighton","Wolves",18,"Danny Welbeck","FW",TRUE,0.943078536448198,0,91.2819805784536,"D. Welbeck",1135,66,"Brighton",1135
1136,460.5,54,57,211,37.38,30.328,"SecondHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,470690,37.8,35.428,NA,NA,NA,NA,NA,461,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,0.01262646,0.01262646,0,"Brighton","Wolves",26,"Yasin Ayari","DMC",TRUE,0,0.50445697279369,85.2921477556278,"Y. Ayari",1136,66,"Brighton",1136
1137,461,54,58,211,37.8,35.428,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,470690,28.98,37.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.0166666666667,2812647757,62,178,141,213,212,140,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55.5","2.89","9.1","27.6","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,0.01262646,0.01132376,-0.0013027,"Brighton","Wolves",26,"Yasin Ayari","DMC",TRUE,-8.89677308461405,0,165.31144928281,"Y. Ayari",1137,66,"Brighton",1137
1138,461.5,54,59,211,28.98,37.74,"SecondHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,109922,30.975,29.036,NA,NA,NA,NA,NA,462,NA,NA,NA,NA,62.0333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,0.01132376,0.01132376,0,"Brighton","Wolves",4,"Adam Webster","DC",TRUE,0,1.92069155088654,-77.0905065997443,"A. Webster",1138,66,"Brighton",1138
1139,462,55,0,211,30.975,29.036,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 216, 218)",TRUE,109922,41.58,17.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.05,2812647907,63,178,141,213,212,140,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.8","5.46","15.6","39.6","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,0.01132376,0.01269174,0.00136798,"Brighton","Wolves",4,"Adam Webster","DC",TRUE,8.67105439728213,0,-47.2986869879649,"A. Webster",1139,66,"Brighton",1139
1140,463,55,1,211,40.635,15.98,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 216, 218)",TRUE,436048,36.225,9.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.0666666666667,2812647955,63,178,141,213,212,140,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.7","4.13","8.0","34.5","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,0.01214719,0.01214719,0,"Brighton","Wolves",20,"Carlos Baleba","DMC",TRUE,-6.23060675997692,0,-123.495184673741,"C. Baleba",1140,66,"Brighton",1140
1141,464,55,6,211,35.175,8.228,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 37, 216, 218)",TRUE,445059,47.985,14.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.15,2812647999,63,178,141,213,212,140,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.9","0.48","14.4","45.7","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,0.01126267,0.0138454,0.00258273,"Brighton","Wolves",27,"Mats Wieffer","DR",TRUE,14.2976019208879,0,27.484288795005,"M. Wieffer",1141,66,"Brighton",1141
1142,464.5,55,7.5,211,47.985,14.892,"SecondHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,39308,55.02,9.52,NA,NA,NA,NA,NA,465,NA,NA,NA,NA,62.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,0.0138454,0.01611813,0.00227273,"Brighton","Wolves",18,"Danny Welbeck","FW",TRUE,0,4.47860849256291,-37.3657340462999,"D. Welbeck",1142,66,"Brighton",1142
1143,465,55,9,211,55.02,9.52,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 36, 38, 216, 218)",TRUE,39308,57.855,3.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.2,2812648009,63,178,141,213,212,140,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.9","5.14","6.8","55.1","Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,0.01611813,0.01473596,-0.00138217,"Brighton","Wolves",18,"Danny Welbeck","FW",TRUE,-0.589001259677929,0,-65.3853629188809,"D. Welbeck",1143,66,"Brighton",1143
1144,466,55,10,211,57.96,2.312,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 36, 38, 216, 218)",TRUE,386979,64.47,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.2166666666667,2812648041,63,178,141,213,212,140,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.0","6.14","6.6","61.4","Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,0.01473596,0.0174506,0.00271464,"Brighton","Wolves",2,"Tariq Lamptey","AMR",TRUE,4.67870972317874,0,-8.31976569228053,"T. Lamptey",1144,66,"Brighton",1144
1145,467,55,11,211,64.47,1.36,"SecondHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 124, 36, 37, 217, 218)",TRUE,342889,89.25,21.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.2333333333333,2812648079,63,178,141,213,212,140,56,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31.7","0.68","32.0","85.0","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,NA,NA,NA,"Brighton","Wolves",33,"Matt O'Riley","AMC",TRUE,31.9661739861176,0,39.1804508867923,"M. O'Riley",1145,66,"Brighton",1145
1146,598,55,14,161,14.28,49.98,"SecondHalf","KeeperSweeper","Successful",NA,NA,NA,"integer(0)",FALSE,122714,14.28,49.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.2833333333333,2812648133,63,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,NA,NA,NA,"Wolves","Brighton",1,"Jose Sa","GK",TRUE,0,0,0,"J. Sa",1146,67,"Wolves",1146
