"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_PassEndX","type_value_Zone","type_value_Angle","type_value_StandingSave","type_value_Length","type_value_PassEndY","type_value_Longball","type_value_RightFoot","type_value_Cross","type_value_RegularPlay","type_value_FirstTouch","type_value_SmallBoxCentre","type_value_BigChance","type_value_GoalMouthZ","type_value_LowRight","type_value_GoalMouthY","type_value_HeadPass","type_value_Chipped","type_value_Offensive","type_value_OppositeRelatedEvent","type_value_Defensive","type_value_Foul","type_value_FreekickTaken","type_value_MissLeft","type_value_CornerTaken","type_value_Head","type_value_KeeperThrow","type_value_ShotAssist","type_value_KeyPass","type_value_LowCentre","type_value_Assisted","type_value_IndividualPlay","type_value_RelatedEventId","type_value_BlockedX","type_value_BlockedY","type_value_Blocked","type_value_BoxLeft","type_value_OutfielderBlock","type_value_ThrowIn","type_value_LayOff","type_value_LeftFoot","type_value_OtherBodyPart","type_value_OutOfBoxCentre","type_value_MissRight","type_value_GoalKick","type_value_ParriedSafe","type_value_DivingSave","type_value_Hands","type_value_KeeperSaveInTheBox","type_value_FromCorner","type_value_Collected","type_value_KeeperSaveObox","type_value_OverRun","type_value_MissHigh","type_value_BlockedCross","type_value_IntentionalAssist","type_value_BoxCentre","type_value_Yellow","type_value_DeepBoxRight","type_value_DeepBoxLeft","type_value_HighClaim","type_value_LastMan","type_value_SetPiece","type_value_PlayerPosition","type_value_JerseyNumber","type_value_FormationSlot","type_value_CaptainPlayerId","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_TeamPlayerFormation","type_value_Penalty","type_value_KeeperWentWide","type_value_BoxRight","type_value_HighRight","type_value_LeadingToAttempt","type_value_LowLeft","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_HighCentre","type_value_Throughball","type_value_BigChanceCreated","type_value_SmallBoxLeft","type_value_Volley","type_value_KeeperMissed","type_value_PenaltyShootoutConcededGK","type_value_KeeperSaved","value_PassEndX","value_Zone","value_Angle","value_StandingSave","value_Length","value_PassEndY","value_Longball","value_RightFoot","value_Cross","value_RegularPlay","value_FirstTouch","value_SmallBoxCentre","value_BigChance","value_GoalMouthZ","value_LowRight","value_GoalMouthY","value_HeadPass","value_Chipped","value_Offensive","value_OppositeRelatedEvent","value_Defensive","value_Foul","value_FreekickTaken","value_MissLeft","value_CornerTaken","value_Head","value_KeeperThrow","value_ShotAssist","value_KeyPass","value_LowCentre","value_Assisted","value_IndividualPlay","value_RelatedEventId","value_BlockedX","value_BlockedY","value_Blocked","value_BoxLeft","value_OutfielderBlock","value_ThrowIn","value_LayOff","value_LeftFoot","value_OtherBodyPart","value_OutOfBoxCentre","value_MissRight","value_GoalKick","value_ParriedSafe","value_DivingSave","value_Hands","value_KeeperSaveInTheBox","value_FromCorner","value_Collected","value_KeeperSaveObox","value_OverRun","value_MissHigh","value_BlockedCross","value_IntentionalAssist","value_BoxCentre","value_Yellow","value_DeepBoxRight","value_DeepBoxLeft","value_HighClaim","value_LastMan","value_SetPiece","value_PlayerPosition","value_JerseyNumber","value_FormationSlot","value_CaptainPlayerId","value_InvolvedPlayers","value_TeamFormation","value_TeamPlayerFormation","value_Penalty","value_KeeperWentWide","value_BoxRight","value_HighRight","value_LeadingToAttempt","value_LowLeft","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_HighCentre","value_Throughball","value_BigChanceCreated","value_SmallBoxLeft","value_Volley","value_KeeperMissed","value_PenaltyShootoutConcededGK","value_KeeperSaved","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1210,571,52,25,52,70.875,15.164,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 35, 38, 216, 218)",TRUE,379868,64.575,12.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.85,2787454903,53,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61.5","Right","3.56",NA,"6.9","18.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.02401521,0.01870347,-0.00531174,"Real Madrid","Atletico",5,"Jude Bellingham","ML",TRUE,-6.86681843173223,0,-156.128708616675,"J. Bellingham",1210,54,"Real Madrid",1210
1211,571.5,52,26.5,52,64.575,12.376,"SecondHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,20874,65.31,9.248,NA,NA,NA,NA,NA,572,NA,NA,NA,NA,52.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01870347,0.01870347,0,"Real Madrid","Atletico",10,"Luka Modric","MC",TRUE,0,-0.930456644993683,-76.7768374912909,"L. Modric",1211,54,"Real Madrid",1211
1212,572,52,28,52,65.31,9.248,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 36, 38, 217, 218)",TRUE,20874,74.235,2.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.9,2787454921,53,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70.7","Right","5.66",NA,"11.0","4.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01870347,0.02122129,0.00251782,"Real Madrid","Atletico",10,"Luka Modric","MC",TRUE,2.95011228014376,0,-35.8973775117081,"L. Modric",1212,54,"Real Madrid",1212
1213,573,52,30,52,75.495,2.72,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 35, 37, 217, 218)",TRUE,347862,71.61,4.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.9333333333333,2787454939,53,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68.2","Right","2.79",NA,"4.1","6.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.02122129,0.02122129,0,"Real Madrid","Atletico",11,"Rodrygo","MR",TRUE,-1.78896369179179,0,159.818209300018,"Rodrygo",1213,54,"Real Madrid",1213
1214,574,52,32,52,70.875,6.528,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 35, 37, 216, 218)",TRUE,344644,69.405,19.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.9666666666667,2787454953,53,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66.1","Center","1.69",NA,"12.9","28.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.02122129,0.0241224,0.00290111,"Real Madrid","Atletico",8,"Federico Valverde","DR",TRUE,5.3025954650759,0,96.559488665735,"F. Valverde",1214,54,"Real Madrid",1214
1215,575,52,33,52,71.925,16.252,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 35, 38, 216, 218)",TRUE,379868,61.635,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.9833333333333,2787454957,53,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58.7","Center","3.23",NA,"10.3","22.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.02401521,0.01870347,-0.00531174,"Real Madrid","Atletico",5,"Jude Bellingham","ML",TRUE,-9.68918891048358,0,-174.714212757612,"J. Bellingham",1215,54,"Real Madrid",1215
1216,575.5,52,34,52,61.635,15.3,"SecondHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,534899,63.105,21.76,NA,NA,NA,NA,NA,576,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01870347,0.01935132,0.000647850000000002,"Real Madrid","Atletico",35,"Raul Asencio","DC",TRUE,0,3.57872891263717,77.1804008837612,"R. Asencio",1216,54,"Real Madrid",1216
1217,576,52,35,52,63.105,21.76,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 36, 37, 216, 218)",TRUE,534899,67.305,49.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.0166666666667,2787454983,53,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64.1","Center","1.42",NA,"27.9","72.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01935132,0.01935132,0,"Real Madrid","Atletico",35,"Raul Asencio","DC",TRUE,2.93905320167481,0,81.349927535243,"R. Asencio",1217,54,"Real Madrid",1217
1218,577,52,37,52,67.305,49.368,"SecondHalf","BallTouch","Unsuccessful",NA,NA,NA,"c(91, 69)",TRUE,296337,67.305,49.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.05,2787454985,53,NA,56,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,NA,NA,NA,"Real Madrid","Atletico",23,"Ferland Mendy","DL",TRUE,0,0,0,"F. Mendy",1218,54,"Real Madrid",1218
1219,450,52,47,63,90.3,12.58,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 35, 37, 217, 218)",TRUE,422918,83.685,15.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.2166666666667,2787455061,53,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79.7","Center","2.73",NA,"7.2","22.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.04066992,0.02953272,-0.0111372,"Atletico","Real Madrid",22,"Giuliano Simeone","MR",TRUE,-2.28676624923501,0,156.647919437688,"G. Simeone",1219,55,"Atletico",1219
1220,451,52,49,63,84.42,16.116,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 36, 37, 217, 218)",TRUE,125547,95.445,17.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.25,2787455075,53,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90.9","Center","0.12",NA,"11.1","25.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.02953272,0.06442595,0.03489323,"Atletico","Real Madrid",5,"Rodrigo De Paul","MC",TRUE,8.11827804565091,0,6.68390415876846,"R. D. Paul",1220,55,"Atletico",1220
1221,452,52,50,63,100.065,18.836,"SecondHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 36, 217, 218)",TRUE,254582,100.17,18.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.2666666666667,2787455079,53,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"95.4","Center","0.00",NA,"0.1","27.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,NA,NA,NA,"Atletico","Real Madrid",14,"Marcos Llorente","DR",TRUE,0.032180726075909,0,0,"M. Llorente",1221,55,"Atletico",1221
1222,578,52,50,52,7.245,50.116,"SecondHalf","BlockedPass","Successful",NA,NA,NA,"c(91, 60)",TRUE,353423,7.245,50.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.2666666666667,2787455083,53,NA,56,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,NA,NA,NA,"Real Madrid","Atletico",14,"Aurelien Tchouameni","MC",TRUE,0,0,0,"A. Tchouameni",1222,55,"Atletico",1222
1223,453,52,52,63,99.015,18.428,"SecondHalf","CornerAwarded","Successful",NA,NA,NA,"122",FALSE,254582,99.015,18.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.3,2787455087,53,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,NA,NA,NA,"Atletico","Real Madrid",14,"Marcos Llorente","DR",TRUE,0,0,0,"M. Llorente",1223,55,"Atletico",1223
1224,579,52,52,52,5.985,49.572,"SecondHalf","CornerAwarded","Unsuccessful",NA,NA,NA,"122",FALSE,353423,5.985,49.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.3,2787455101,53,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"453",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,NA,NA,NA,"Real Madrid","Atletico",14,"Aurelien Tchouameni","MC",TRUE,0,0,0,"A. Tchouameni",1224,55,"Atletico",1224
