"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_PassEndY","type_value_PassEndX","type_value_StandingSave","type_value_Zone","type_value_Angle","type_value_Length","type_value_Longball","type_value_Offensive","type_value_OppositeRelatedEvent","type_value_Defensive","type_value_ThrowIn","type_value_Foul","type_value_FreekickTaken","type_value_Chipped","type_value_Cross","type_value_RightFoot","type_value_ShotAssist","type_value_IntentionalAssist","type_value_KeyPass","type_value_Assisted","type_value_GoalMouthY","type_value_BoxCentre","type_value_RelatedEventId","type_value_LowLeft","type_value_LeftFoot","type_value_GoalMouthZ","type_value_BlockedX","type_value_BlockedY","type_value_RegularPlay","type_value_Collected","type_value_DivingSave","type_value_Hands","type_value_KeeperSaveInTheBox","type_value_KeeperThrow","type_value_OtherBodyPart","type_value_LayOff","type_value_OutOfBoxCentre","type_value_ParriedSafe","type_value_KeeperSaveObox","type_value_MissLeft","type_value_CornerTaken","type_value_FromCorner","type_value_BigChance","type_value_LowCentre","type_value_Volley","type_value_SmallBoxCentre","type_value_HeadPass","type_value_IndividualPlay","type_value_GoalKick","type_value_MissHigh","type_value_Head","type_value_Blocked","type_value_BoxRight","type_value_OutfielderBlock","type_value_MissRight","type_value_Throughball","type_value_BigChanceCreated","type_value_OneOnOne","type_value_ParriedDanger","type_value_FirstTouch","type_value_HighRight","type_value_LastMan","type_value_IntentionalGoalAssist","type_value_LowRight","type_value_LeadingToAttempt","type_value_BlockedCross","type_value_PlayerCaughtOffside","type_value_Yellow","type_value_HighLeft","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_IndirectFreekickTaken","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_TeamPlayerFormation","type_value_CaptainPlayerId","type_value_BoxLeft","value_PassEndY","value_PassEndX","value_StandingSave","value_Zone","value_Angle","value_Length","value_Longball","value_Offensive","value_OppositeRelatedEvent","value_Defensive","value_ThrowIn","value_Foul","value_FreekickTaken","value_Chipped","value_Cross","value_RightFoot","value_ShotAssist","value_IntentionalAssist","value_KeyPass","value_Assisted","value_GoalMouthY","value_BoxCentre","value_RelatedEventId","value_LowLeft","value_LeftFoot","value_GoalMouthZ","value_BlockedX","value_BlockedY","value_RegularPlay","value_Collected","value_DivingSave","value_Hands","value_KeeperSaveInTheBox","value_KeeperThrow","value_OtherBodyPart","value_LayOff","value_OutOfBoxCentre","value_ParriedSafe","value_KeeperSaveObox","value_MissLeft","value_CornerTaken","value_FromCorner","value_BigChance","value_LowCentre","value_Volley","value_SmallBoxCentre","value_HeadPass","value_IndividualPlay","value_GoalKick","value_MissHigh","value_Head","value_Blocked","value_BoxRight","value_OutfielderBlock","value_MissRight","value_Throughball","value_BigChanceCreated","value_OneOnOne","value_ParriedDanger","value_FirstTouch","value_HighRight","value_LastMan","value_IntentionalGoalAssist","value_LowRight","value_LeadingToAttempt","value_BlockedCross","value_PlayerCaughtOffside","value_Yellow","value_HighLeft","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_IndirectFreekickTaken","value_InvolvedPlayers","value_TeamFormation","value_TeamPlayerFormation","value_CaptainPlayerId","value_BoxLeft","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1079,457,46,54,839,70.455,61.608,"SecondHalf","OffsidePass","Successful",NA,NA,NA,"c(91, 217)",TRUE,399047,94.5,62.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.2166666666667,2788629673,50,141,140,178,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"92.1","90.0",NA,"Left",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"448209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,NA,NA,NA,"Villarreal","Real Madrid",18,"Pape Gueye","MC",TRUE,0,0,2.42905708934787,"P. Gueye",1079,56,"Villarreal",1079
1080,533,47,30,52,12.39,11.288,"SecondHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 133, 36, 37, 216, 218)",TRUE,73798,64.26,22.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.8166666666667,2788630057,51,141,140,178,56,213,212,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241,NA,NA,NA,NA,NA,"33.8","61.2",NA,"Center","0.22","53.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,NA,NA,NA,"Real Madrid","Villarreal",1,"Thibaut Courtois","GK",TRUE,53.1512449272821,0,12.7069280029754,"T. Courtois",1080,56,"Villarreal",1080
1081,459,47,34,839,41.685,43.656,"SecondHalf","Aerial","Successful",NA,NA,NA,"c(197, 200)",FALSE,362735,41.685,43.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.8833333333333,2788630071,51,NA,NA,NA,56,NA,NA,NA,NA,233,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,"534",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,NA,NA,NA,"Villarreal","Real Madrid",14,"Santi Comesana","MC",TRUE,0,0,0,"S. Comesana",1081,56,"Villarreal",1081
1082,534,47,34,52,63.315,24.344,"SecondHalf","Aerial","Unsuccessful",NA,NA,NA,"198:199",FALSE,379868,63.315,24.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.8833333333333,2788630063,51,NA,NA,NA,56,NA,NA,NA,286,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,"459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,NA,NA,NA,"Real Madrid","Villarreal",5,"Jude Bellingham","AMC",TRUE,0,0,0,"J. Bellingham",1082,56,"Villarreal",1082
1083,530,47,34,839,41.895,47.26,"SecondHalf","BallTouch","Successful",NA,NA,NA,"91",TRUE,362735,41.895,47.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.8833333333333,2788634051,51,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,NA,NA,NA,"Villarreal","Real Madrid",14,"Santi Comesana","MC",TRUE,0,0,0,"S. Comesana",1083,56,"Villarreal",1083
1084,461,47,38,839,30.975,46.308,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,389130,25.305,31.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.95,2788630107,51,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46.3","24.1",NA,"Back","4.35","15.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.01110462,0.01016549,-0.000939130000000002,"Villarreal","Real Madrid",2,"Logan Costa","DC",TRUE,-4.69346703514726,0,-110.931245621757,"L. Costa",1084,56,"Villarreal",1084
1085,462,47,40,839,25.305,31.484,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 215, 218)",TRUE,494120,34.86,23.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.9833333333333,2788630163,51,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.4","33.2",NA,"Back","5.58","12.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.01016549,0.01269174,0.00252625,"Villarreal","Real Madrid",5,"Willy Kambwala","DC",TRUE,8.79706213373525,0,-40.2608107267404,"W. Kambwala",1085,56,"Villarreal",1085
1086,463,47,45,839,34.125,25.636,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 37, 216, 218)",TRUE,362735,41.685,29.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.0666666666667,2788630185,51,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.7","39.7",NA,"Back","0.42","8.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.01262646,0.01262646,0,"Villarreal","Real Madrid",14,"Santi Comesana","MC",TRUE,7.85751910261927,0,24.2151389860315,"S. Comesana",1086,56,"Villarreal",1086
1087,463.5,47,46.5,839,41.685,29.036,"SecondHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,399047,47.88,29.308,NA,NA,NA,NA,NA,464,NA,NA,NA,NA,51.0916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.01262646,0.01484598,0.00221952,"Villarreal","Real Madrid",18,"Pape Gueye","MC",TRUE,0,6.19691159614007,2.51403538056568,"P. Gueye",1087,56,"Villarreal",1087
1088,464,47,48,839,47.88,29.308,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 36, 38, 216, 218)",TRUE,399047,57.96,21.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.1166666666667,2788630197,51,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32.3","55.2",NA,"Center","5.65","12.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.01484598,0.01685596,0.00200998,"Villarreal","Real Madrid",18,"Pape Gueye","MC",TRUE,8.75698288816299,0,-36.0760115563686,"P. Gueye",1088,56,"Villarreal",1088
1089,465,47,49,839,60.48,22.168,"SecondHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 36, 38, 217, 218)",TRUE,135366,75.285,8.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.1333333333333,2788630233,51,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.8","71.7",NA,"Right","5.55","20.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.01935132,0.02401521,0.00466389,"Villarreal","Real Madrid",22,"Ayoze Perez","FW",TRUE,7.04150806129776,0,-42.2840890869681,"A. Perez",1089,56,"Villarreal",1089
1090,465.5,47,51,839,75.285,8.704,"SecondHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,371027,86.415,9.588,NA,NA,NA,NA,NA,466,NA,NA,NA,NA,51.1666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.02401521,0.04066992,0.01665471,"Villarreal","Real Madrid",9,"Tajon Buchanan","MR",TRUE,0,8.34255763607994,4.54118292263534,"T. Buchanan",1090,56,"Villarreal",1090
1091,466,47,53,839,86.415,9.588,"SecondHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 137, 126, 36, 37, 217, 218)",TRUE,371027,89.565,13.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.2,2788630241,51,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.1","85.3",NA,"Right","0.91","5.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,NA,NA,NA,"Villarreal","Real Madrid",9,"Tajon Buchanan","MR",TRUE,5.15436081892827,0,52.3297477167588,"T. Buchanan",1091,56,"Villarreal",1091
1092,536,47,53,52,15.96,53.516,"SecondHalf","BallTouch","Successful",NA,NA,NA,"91",TRUE,422957,15.96,53.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.2,2788630247,51,NA,NA,178,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,NA,NA,NA,"Real Madrid","Villarreal",20,"Fran Garcia","DL",TRUE,0,0,0,"F. Garcia",1092,56,"Villarreal",1092
1093,538,47,54,52,24.045,45.016,"SecondHalf","BallTouch","Successful",NA,NA,NA,"91",TRUE,369109,24.045,45.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.2166666666667,2788630297,51,NA,NA,178,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,NA,NA,NA,"Real Madrid","Villarreal",6,"Eduardo Camavinga","DMC",TRUE,0,0,0,"E. Camavinga",1093,56,"Villarreal",1093
1094,539,47,59,52,34.86,48.756,"SecondHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 36, 37, 216, 218)",TRUE,347862,46.83,59.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.3,2788630303,51,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87.7","44.6",NA,"Back","0.74","16.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,NA,NA,NA,"Real Madrid","Villarreal",11,"Rodrygo","AML",TRUE,8.10687955110963,0,42.2689236898895,"Rodrygo",1094,56,"Villarreal",1094
